GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,88,2,9,1,22,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,34,185,6,5,11,57,6,7,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,29,33,8,0,5,14,6,7,2,7
parking-system,com.parkit.parkingsystem.model,Ticket,0,95,0,4,0,22,0,17,0,15
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,39,9,4,0,13,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,21,209,2,2,6,52,2,5,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,11,100,2,2,4,29,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,75,0,6,0,31,0,9,0,6,0
